对象,pattern,观点词,个数
气味,商品-,不错,1.0
头发,不 那么-,容易,1.0
追评,只要 用 了 就 会 头皮-,痒,1.0
打开,味道 很-,香,1.0
喜欢,很+,不错,2.0
追评,体验感 很-,差,1.0
味道,是-,持久,1.0
头发,特别-,清爽,1.0
控油,到 好-,香,1.0
头皮,也 感觉 更加-,舒适,2.0
洗发水,的 功效 很-,好,1.0
评价,还-,不错,2.0
控油,效果 比-,一般,1.0
香味,也 很-,好,1.0
头发,可以 坚持-,小,1.0
发货,速度 好-,快,1.0
头发,有 很-,香,1.0
商品质量,很-,好,2.0
喜欢,很好 很+,不错,1.0
头发,特别-,柔顺,3.0
洗发水,泡沫-,丰富,3.0
追评,控油 我 感觉 还是-,不错,1.0
洗发,后 头发 变得 更加-,柔顺,1.0
不用,的 头发 很 柔顺 都+,挺好,1.0
追评,我 的 头发 一直 以来 都 容易 头油 头-,痒,1.0
推荐,给 我 说 很-,不错,1.0
头发,确实-,蓬松,1.0
头发,也 变得-,柔顺,2.0
显得,起来+,蓬松,1.0
香味,非常-,持久,1.0
洗完,头发 特别 顺滑-,蓬松,1.0
去屑,的 自用 发膜 也 用 了 很-,不错,1.0
发货,速度 也-,快,1.0
感觉,蓬松 的+,清爽,1.0
头皮,都 会 被 清洗 很-,彻底,1.0
了用,了 一下-,不错,1.0
能力,很-,强,6.0
洗出,了 痘痘-,很痛,1.0
东西,保护 得 很-,好,1.0
洗发水,可以 保持 好 几天-,蓬松,1.0
变得,更加-,柔顺,5.0
头皮屑,能力 很-,强,1.0
正品,怀疑 这 是不是+,严重,1.0
家人,都 觉得-,不错,1.0
关键,不-,伤害,1.0
商品,气味-,淡,1.0
味道,也 不会 太-,浓,1.0
洗发水,的 控油-,蓬松,1.0
洗完,发质-,蓬松,1.0
洗发水,真的 非常-,难,1.0
体验,到 了 不用 天天 洗头 的-,快乐,1.0
发缝,洗 的 超级-,大,1.0
头顶,都-,蓬松,1.0
洗发水,的 包装 很-,好,1.0
控油,效果 非常-,显著,2.0
洗发水,到货 啦 质量-,不错,1.0
头发,则 很 柔弱-,蓬松,1.0
感觉,头皮 被 彻底-,清洁,2.0
香味,的+,清新,1.0
追评,真心 推荐 我 洗发水 确实-,好,1.0
洗完,头皮 贼-,清爽,3.0
时间,数 人 护发 困扰 就是 没有+,绝大,1.0
感觉,比 之前 用过 的 洗发水-,好,1.0
好用,的 都+,柔顺,1.0
头发,很-,清爽,15.0
超市,现在 卖 的-,很火,1.0
只能,说-,温和,1.0
控油,效果 挺-,好,5.0
质量,不-,清楚,1.0
花香调,香味 让 我 每次 洗发 都 感到 心情-,愉悦,1.0
泡沫,比较-,细腻,1.0
商家,服务-,细致,1.0
去屑,能力-,强,1.0
头发,看起来 更加-,清爽,1.0
头发,特别-,干净,2.0
头发,不-,粘腻,1.0
洗发水,不错-,不错,1.0
包装,也-,完好,1.0
洗发水,的+,很好,2.0
味道,也 很 独特 香味-,持久,1.0
控油,的 洗 了 一次 了-,不错,1.0
头发,后 清爽-,舒适,1.0
香味,也 很-,清新,2.0
闺蜜,用 了 效果-,好,1.0
控油,力度 还是 不错 的 不至于 洗完-,黏腻,1.0
商品,气味 听 朋友 说 这款 洗发水 很-,好,1.0
洗发水,非常-,温和,1.0
不算,很-,贵,1.0
感觉,很-,蓬松,1.0
姐妹,们 泡沫 丰富-,细腻,1.0
气味,比较-,清爽,1.0
用过,的 控油 效果-,最好,3.0
发质,已经-,差,1.0
揉搓,很-,温和,1.0
洗完,头皮 感觉-,清爽,1.0
刺激,不+,温和,11.0
心情,无比-,舒畅,1.0
按摩,很-,舒服,1.0
控油,效果 和 去屑 效果 味道 什么 的 都-,不错,1.0
气味,蛮-,清新,1.0
泡泡,在 头皮 上 按摩 很-,舒服,1.0
评论,自发 的+,纯,1.0
感觉,头皮-,很痒,1.0
头发,更 持久-,清爽,1.0
感觉,每 一根 头发 都 被-,温柔,1.0
试用装,几袋+,好,1.0
商品,气味 真实 很-,香,1.0
洗完,头 好 香 好-,蓬松,1.0
头屑,也 很-,不错,1.0
控油,的+,好,2.0
追评,商品 用 着-,不错,1.0
洗发水,味道 很-,清新,2.0
洗发水,味道 好-,香,3.0
头皮屑,是 有+,老,1.0
头发,油腻 的-,烦恼,1.0
洗完,也 不-,蓬松,1.0
头发,比较-,细软,1.0
洗发水,用 了 头皮 过敏-,长,1.0
头皮,就-,痒,1.0
头发,好-,香,1.0
发现,了+,长,1.0
洗发水,的 一款+,高,1.0
头发,更加-,健康,4.0
香味,的+,香,2.0
头发,也 是 很-,蓬松,1.0
头发,终于 再也 不 油腻-,扁,1.0
洗发水,用 了-,挺好,1.0
头油,也-,少,1.0
感觉,像-,假,1.0
有用,而且 很+,舒服,1.0
评价,都 很-,好,1.0
洗发水,很-,香,15.0
感觉,根本 洗 不-,干净,1.0
喜欢,很+,香,1.0
头发,还 很-,香,2.0
头发,在 洗完 后 明显 清爽-,干净,1.0
效果,让 我 每天 都 能 保持 头发 的-,清爽,1.0
头发,非常 细顺-,光滑,1.0
头皮,不 伤+,温和,2.0
头皮,环境-,清爽,1.0
头发,尾部-,毛躁,1.0
用过,的 效果 最-,明显,1.0
配方,不仅-,清洁,1.0
洗发水,十分-,好,1.0
头皮,也-,不辣,1.0
洗发水,洗好 后 很-,柔顺,1.0
寻找,高效 且 不 破坏 头皮-,健康,1.0
头发,柔软+,蓬松,1.0
东西,收到 了 质量 很-,好,1.0
洗头,两三天 不+,连续,1.0
熬夜,油头-,严重,1.0
洗完,的 头发 很-,香,1.0
商品,气味 味道 还-,不错,2.0
头皮,且 不 破坏+,高效,1.0
洗发水,就 有-,很好,1.0
护发素,是 我 用过-,最差,1.0
试用品,觉得 很-,不错,1.0
情况,也 很-,好,1.0
感觉,头皮 很-,清爽,1.0
洗完,头 都 变-,清爽,1.0
泡沫,丰富 区-,细腻,1.0
洗完,头皮屑-,少,1.0
希望,商家 能够-,大,1.0
效果,挺 让 我-,惊喜,1.0
洗完,之后 头皮 洗 的 特别-,干净,1.0
连发,膜 都 不用 直接 洗完 就 超级-,柔顺,1.0
道理,有贵 的+,贵,2.0
洗完,头发 后 很-,蓬松,1.0
追评,洗发水 很-,不错,1.0
清洗,过程 泡沫-,丰厚,1.0
油性,头发 太-,友好,1.0
头皮,很-,舒爽,1.0
去屑,的 效果 也 很-,好,1.0
气味,挺-,好,2.0
头发,一-,蓬松,1.0
感受,非常-,不错,1.0
亮泽,护发素 都 是 正品 质量 很-,好,2.0
名星,代言 的 就-,好,1.0
洗发水,都 不会-,粗糙,1.0
喜欢,我 挺+,香,1.0
选择,洗发水 而-,烦恼,1.0
控油,蓬松 超级-,好,1.0
头发,很 顺滑-,清爽,1.0
脱发,太-,严重,1.0
包装,非常-,仔细,1.0
洗完,之后 头皮 很-,清爽,1.0
味道,也 挺-,香,1.0
头发,超级-,蓬松,2.0
洗完,头发 也 很-,舒服,2.0
礼物,能 买到 这么-,好,1.0
洗完,头 头发 很-,蓬松,1.0
订单,有点-,小,1.0
打开,气味 就 很-,香,1.0
头发,蓬松-,柔软,5.0
找到,一款 不油-,不腻,1.0
洗完,油头+,大,2.0
好评,宝贝 产品质量 很-,好,1.0
效果,是 真的-,好,2.0
洗完,头 真的 很-,蓬松,2.0
洗完,头发 超级-,蓬松,1.0
选择,适合 自己 的 洗发水 不仅 可以 让 头发-,健康,1.0
商品,气味 好闻 很-,香,1.0
洗完,之后 变得 更加-,丰盈,1.0
头发,挺-,清爽,1.0
店家,服务态度-,好,1.0
香味,特别-,敏感,2.0
洗发水,让 我 告别 了 每天 洗头 的-,烦恼,2.0
上洗,的 也 很-,干净,1.0
想要,天然-,高,1.0
洗出来,头发 也 不-,枯燥,1.0
头顶,发缝-,成功,1.0
气味,也 闻 得-,舒服,1.0
洗发水,都 是-,很大,1.0
追评,我 只能 说-,温和,1.0
头发,能-,蓬松,1.0
香味,很-,好,1.0
出油,也-,慢,2.0
头发,之后 非常-,蓬松,1.0
头皮,痒 的 特别-,厉害,1.0
洗发水,洗 的 非常 的-,清爽,1.0
头皮,地 感觉 到+,清楚,1.0
洗完,以后 头发-,柔顺,1.0
味道,太-,香,1.0
洗完,确实 头发 不 那么-,容易,1.0
头皮,真的 很-,舒服,1.0
感觉,特别-,清爽,2.0
头发,感觉 第二天+,明显,1.0
洗完,吹干 之后 头发 就 头发 都 巨 蓬松-,柔顺,1.0
头发,很 顺 味道 也 很-,香,1.0
洗出来,头发-,蓬松,1.0
感觉,清爽-,舒适,1.0
洗发水,不能-,单单,1.0
头发,会-,干燥,1.0
控油,效果 确实 是 很-,好,1.0
购买,物品 使用 的 效果-,不错,1.0
出油,也 没有 那么-,严重,1.0
头发,清爽 不-,粘腻,1.0
头发,也 变得 可-,柔顺,1.0
评用,了-,好,1.0
味道,没有 那么-,大,1.0
总体,感觉-,不错,1.0
喜欢,质量 很好 很+,好,1.0
头发,的 去除+,有效,1.0
头皮,巨-,干净,1.0
头发,出 油 情况-,明显,1.0
选择,多款 洗头膏 最好 还是+,好,1.0
能力,嘎嘎-,强,1.0
洗头,地 延长+,轻松,1.0
洗完,头发 感觉-,好,1.0
绵密,我-,大,1.0
评论,不+,一般,1.0
效果,贼-,强,1.0
洗完,头发 也 很 非常 的-,柔顺,1.0
油腻,不+,清爽,20.0
成分,也-,安全,1.0
回购,的 还有 赠品 闻 着 挺 香 用完 再+,挺好用,1.0
头发,没有 这么 油腻 更加 不会 头皮-,痒,1.0
头皮,导致+,清洁,1.0
油头,很-,友好,2.0
气味,洗完 后 头发 有 很-,香,1.0
味道,也 很-,清新,3.0
买来,所以+,好,1.0
洗完,头发 清洁 的 很-,干净,1.0
头发,几次 了 洗完 之后+,好,1.0
互联网,时代 真的 是 销量-,高,1.0
洗发水,儿 真心-,好,1.0
发货,速度-,好,1.0
效果,也 是 很-,不错,1.0
洗发水,的 质地 很-,好,1.0
产品,确实-,好,2.0
头皮,也 很-,舒服,2.0
追评,最 让 我-,惊喜,1.0
清香味,也 是 我 的-,最爱,1.0
沉浸,的 花香调 让 我 整天 都+,持久,1.0
泡泡,出+,容易,1.0
头发,塌+,细软,1.0
洗发水,是 我 用过 的 控油 产品 中 效果-,最好,3.0
洗发水,的+,难用,2.0
洗发水,控油 很-,好,1.0
控油,效果 比 一般 的 要-,好,1.0
头发,一 开始 是 有 一点点-,蓬松,1.0
感受,就是 控油 效果 真的 很-,好,1.0
头发,轻盈-,蓬松,1.0
买到,质量 这样-,好,2.0
头发,蓬松-,柔顺,4.0
护发素,都 不用 洗+,柔顺,1.0
试用装,洗 着-,挺好,1.0
东西,非常 的-,好,1.0
沉浸,在-,愉悦,1.0
香味,迷人 的+,蓬松,1.0
洗完,头 就-,痒,1.0
听说,用 了 可以-,很好,1.0
头皮,现在 也-,不痒,1.0
推荐,给+,好,1.0
收到,了 质量 很-,好,1.0
揉搓,质地 很丝 滑 轻轻+,好,1.0
留香,也-,挺久,1.0
功效,很-,好,1.0
洗发,非常-,清爽,1.0
洗完,头皮 很 干净-,清爽,2.0
质量,也 超级-,好,1.0
商品,气味 洗完 后 头发 有 很-,香,1.0
头发,感觉-,好,1.0
肯定,不会-,差,1.0
发现,头发-,蓬松,1.0
绵密,用 泡沫+,好,1.0
感觉,买-,贵,1.0
卡厘,洗发水 到货 啦 质量-,不错,1.0
朋友,们-,快,1.0
头发,既-,蓬松,1.0
头皮,清洁+,有效,2.0
控油,蓬松 都-,不错,1.0
效果,非常-,好,23.0
配方,的+,独特,1.0
表嫂,家用 了 觉得-,不错,1.0
洗完,头 都 感觉 头发 超级-,柔顺,1.0
商品,气味 挺-,好,2.0
洗完,头发 瞬间 清爽-,蓬松,1.0
起泡,质地 很丝 滑 轻轻 揉搓 几下 就+,好,1.0
控油,和 丰盛-,蓬松,1.0
头发,又 黑 又-,粗,1.0
商品,气味 两个 味道 都-,不错,1.0
味道,留香 很-,好,1.0
好闻,用 味道+,好,1.0
泡沫,也 是 细腻-,丰盈,1.0
洗完,之后 特别-,干净,1.0
出油,不 那么 爱+,明显,1.0
洗发,都 感到 心情-,愉悦,1.0
控油,到-,好,1.0
刺激,香味 不+,持久,1.0
朋友,推荐 的说 这款 洗发水-,不错,1.0
商品,气味 比 平时 要-,便宜,1.0
头发,明显 变得-,清爽,2.0
感到,头发 柔顺-,蓬松,1.0
效果,也-,挺好,1.0
追评,用过-,最难,1.0
出门,一点 都 不 觉得-,尴尬,1.0
头发,很 顺滑-,蓬松,2.0
洗完,之后 真的 很-,蓬松,1.0
效果,都 没有 这个-,好,2.0
回购,还 会 继续+,好,1.0
商品,用 的-,确实,1.0
性价比,更-,高,1.0
速度,非常-,快,3.0
喜欢,这 款 洗发水 的 泡沫 很 丰富 和 很-,容易,1.0
控油,洗完 头 后 特别 清爽-,舒适,1.0
增高,了-,好,1.0
发质,很-,差,1.0
价格,的+,便宜,1.0
头发,贼 清爽-,蓬松,1.0
洗头,就 容易-,长,1.0
香味,的+,浓郁,1.0
客服,的 态度 也 很-,好,1.0
去屑,效果 都 没有 这个-,好,1.0
追评,蓬蓬 的 头发 真的-,好,1.0
洗发水,对 我 这种 油头 真的-,友好,1.0
洗头,也 很-,干净,1.0
头发,好-,痒,1.0
头发,静电 也-,很大,1.0
洗完,头 之后 超级-,痒,1.0
打开,后 让 我-,惊喜,1.0
洗发水,和 护发素 是 我 用过 最差-,最差,1.0
洗完,后 也 很-,蓬松,1.0
正品,哈 效果 非常-,好,1.0
头皮,了 很多+,长,1.0
快递,也好-,快,1.0
功效,考虑 产品 的 成分 和+,仔细,1.0
追评,没有 对比 就 没有-,伤害,1.0
商品,气味 控油 的 没有 说 的 那么-,好,1.0
洗头,头发 都 有 很-,严重,1.0
洗发水,用 后 头发 非常-,蓬松,1.0
头皮,配方 不仅 清洁 了+,温和,1.0
头发,的+,蓬松,3.0
油头,的 姐妹 应该 能 理解 油 的 反光 的-,痛,2.0
清扬,感觉 这 款 洗发水 没有+,明显,1.0
洗完,头发 柔顺 自然-,清爽,1.0
油头,女孩子 的-,痛苦,1.0
朋友,推荐 的 这 一款 洗发水 效果 真心-,不错,1.0
态度,很-,积极,2.0
满头,头皮+,蓬松,1.0
头发,保持 了 一整天 的-,清爽,1.0
气味,很-,好,9.0
追评,这个-,柔顺,1.0
好闻,而且 留香-,久,1.0
感觉,头皮 的 每 一个 毛孔 都 被-,清洁,1.0
泡沫,也 很-,丰富,1.0
头发,瞬间-,清爽,1.0
介绍,说 还-,不错,1.0
发质,也 变得 更加-,健康,1.0
材质,很-,好,1.0
丝滑,用 柔顺+,好,1.0
商品,气味 让 人 闻 着 很-,舒服,1.0
洗发水,买 的 两瓶+,直接,1.0
回复,消息 很快 态度 也-,不错,1.0
追评,这款 控油 洗发水 用 着 挺-,好,1.0
洗发水,的 控油 效果 真的 让 我-,惊喜,2.0
卖家,服务 也 周到 发货 速度-,快,1.0
头发,洗 了-,容易,1.0
小样,就是 送 的+,不足,1.0
物流,速度 非常-,快,1.0
整体,感觉 性价比 很-,高,1.0
信息,也-,快,1.0
洗发水,的+,很高,2.0
家里人,说 这个 洗发水 特别-,好,1.0
头皮,都-,清爽,1.0
追评,这款 包装-,精致,1.0
洗完,之后 头发 特别-,粗糙,1.0
洗完,后 头发 清爽-,干净,2.0
商品,气味 洗起来-,舒服,1.0
价格比,超市-,便宜,1.0
控油,真+,确实,1.0
发质,蓬松 又-,柔顺,1.0
吹干,后 头发 非常 细顺-,光滑,1.0
刺激,而 不+,温和,1.0
希望,这次 一如既往 的-,好,1.0
体会,到 头发 不 出油 的-,快乐,1.0
适合,我 这种-,容易,1.0
赠品,也 超-,棒,1.0
控油,效果 真的 很-,好,5.0
价格,也 很 平价 用 着 不-,心疼,1.0
丝滑,用 了 非常 的+,直接,1.0
洗完,头发 很 清爽-,蓬松,1.0
控油,效果-,一般,2.0
洗发水,的+,合适,2.0
感觉,到 头皮 被 温和 地-,清洁,1.0
疙瘩,是不是 之前 买 了-,好,1.0
去屑,的 用着-,头痒,1.0
淘气值,的 增资-,长,1.0
效果,真心-,好,1.0
护发素,就 不 需要 用+,根本,2.0
出油,是 会+,老,1.0
控油,洗完 头发 巨-,蓬松,1.0
头发,就 掉-,一大,1.0
洗发水,用 完 之后 头-,痒,1.0
去屑,效果 真的-,不错,2.0
配方,的+,温和,1.0
客服,小姐姐 的 服务 也 很-,好,1.0
想象,中 的 要-,好,1.0
洗完,第一天 一点 也 不-,蓬松,1.0
头皮,也 不会-,痒,1.0
包装,非常-,好,2.0
洗发水,控油-,蓬松,2.0
头发,变得 更加-,健康,1.0
大气,上档次 非常 好用 很-,柔顺,1.0
洗完,头发-,很润,1.0
产品,的+,不错,3.0
洗完,后 明显 清爽-,干净,1.0
洗发水,的 配方 也 很-,温和,1.0
季节,使用 很-,合适,1.0
物流,快 包装-,好,1.0
洗完,很-,香,1.0
追评,遇见 一款 好 的 洗发水 真的 不-,容易,1.0
力度,很-,强,4.0
商品,气味 洗完-,挺顺,1.0
洗完,头 好 香-,好,1.0
改善,我 的 头皮-,干燥,1.0
搭配,上 这个-,柔顺,1.0
气味,可以 挺-,好,1.0
洗完,后 头发 清爽-,蓬松,1.0
蓬松度,效果-,很棒,1.0
香气,的+,优雅,1.0
感觉,洗 的 老-,干净,1.0
上头,好-,舒服,1.0
追评,洗发水 真的 特别-,好,1.0
客服,也 很-,耐心,1.0
香气,很-,香,1.0
妹子,颅顶 的+,高,1.0
过用,完 头发-,确实,1.0
追评,洗发水 不仅 控油 效果-,好,1.0
头发,洗完 很-,清爽,1.0
价格,也-,便宜,2.0
控油,效果 真的-,很棒,4.0
洗发水,洗 的 很-,舒服,1.0
产品,的 一款+,很棒,1.0
产品,很-,好,11.0
洗完,头发 蓬松-,柔软,1.0
头发,给-,足,1.0
效果,还 挺-,好,1.0
头发,洗 了 也 很-,舒服,1.0
润滑,效果 和+,蓬松,1.0
追评,我 洗 着 头-,巨痒,1.0
洗发水,很 好用 且 泡沫-,丰富,1.0
感觉,跟-,舒服,1.0
控油,两组 搭配 挺-,好,1.0
气味,让 人 闻 着 很-,舒服,1.0
控油,洗发水 真的 让 我-,惊喜,1.0
用完,了 就-,直接,1.0
护发素,洗完 很-,柔顺,1.0
气味,控油 能力-,强,1.0
去屑,和 控油 都 很-,好,1.0
洗发,体验 更加-,舒适,1.0
时间,也-,长,1.0
追评,这款 洗发水 的 控油-,蓬松,1.0
头发,后 很-,蓬松,1.0
蓬松度,很-,不错,1.0
控油,的 效果 非常-,好,1.0
闺蜜,买 说用 了 头发-,挺顺,1.0
刺激,我 的-,敏感,1.0
洗完,可以 控油 时间-,长,1.0
控油,效果 也 特别-,好,1.0
头皮,真的 比 之前 会-,轻松,1.0
吹干,头发 后 很-,容易,1.0
洗完,感觉 变-,清爽,1.0
洗完,当天 头发 会-,痒,1.0
互联网,时代 真的 是 销量 高 的 产品质量 都 比较-,差,1.0
头皮屑,不-,干燥,1.0
洗发水,用 起来 很-,方便,1.0
头发,很 清爽-,舒服,1.0
头发,控油 效果-,确实,1.0
头发,很-,干净,2.0
洗发水,真的 让 我-,惊喜,1.0
购买,用 推荐+,好,1.0
味道,也 是 真的 很 香 很-,持久,1.0
气味,非常-,好,2.0
品质,很-,好,1.0
诗诗,永远 都-,好,1.0
泡沫,不-,大,1.0
追评,谁 懂 油头 女孩子 的-,痛苦,1.0
产品质量,的+,高,1.0
头皮,去除+,有效,1.0
做广告,这么-,好,1.0
顺滑,且 易于 冲洗 洗 后 头发+,丰富,1.0
效果,还是 非常-,不错,1.0
包装,的 很-,扎实,1.0
商品,气味 好-,香,1.0
油头,洗完 很-,清爽,1.0
洗完,就是-,蓬松,1.0
洗完,头 都 觉得 心情-,愉悦,1.0
评用,了 之后 真的 很-,惊艳,1.0
洗发水,解决 了-,很大,1.0
泡沫,超-,丰富,1.0
气味,好-,香,1.0
头发,比 以前-,蓬松,1.0
香味,很-,独特,1.0
快递,把+,直接,1.0
变得,很-,蓬松,2.0
服务态度,很-,好,8.0
效果,非常-,显著,2.0
过程,泡沫 丰厚-,细腻,1.0
试用装,觉得 还-,不错,1.0
头发,后-,清爽,1.0
产品,做-,大,1.0
能力,很-,不错,1.0
洗发水,挺-,好,3.0
控油,效果 特别-,好,6.0
朋友,推荐 买 的 说 很-,香,1.0
实惠,一瓶 很+,很大,1.0
洗发水,洗完 发质-,柔顺,1.0
服务,也 很棒 发货-,快,1.0
感觉,头皮 特别-,清爽,4.0
感觉,头发+,长,1.0
洗发水,的 控油 效果 真的 很-,持久,2.0
体验感,也-,不错,1.0
收到,货后 就-,直接,1.0
洗起来,非常-,舒服,1.0
出门,头发 感觉 都 没 办法+,长,1.0
追评,头发 很-,蓬松,1.0
效果,挺-,好,8.0
效果,真的 蛮-,不错,1.0
时间,很-,长,1.0
洗发水,是 我 用过 的 控油 效果-,最好,3.0
头发,掉 的 会-,少,1.0
气味,很-,清爽,1.0
适合,的 洗发水 最+,便宜,1.0
头发,顺滑 不-,干涩,1.0
油头,真的-,友好,1.0
洗发水,的+,不同,1.0
发质,还是 挺-,柔顺,1.0
头发,就 感觉 很-,清爽,2.0
时代,真的 是 销量 高 的 产品质量 都 比较-,差,1.0
头发,不仅 柔顺 还 很-,香,1.0
商品,气味 气味 很-,舒服,1.0
洗发水,多次 这个+,好,1.0
洗发水,的 泡沫-,细腻,1.0
清洗,和 很 容易+,丰富,1.0
发丝,带来-,清晰,1.0
变得,更加-,丰盈,1.0
体验,到 三四天 一 洗 的-,快乐,1.0
能力,相当-,不错,1.0
购买,了 因为 特别-,好,1.0
效果,都 很-,好,1.0
头发,很丝 滑-,柔顺,1.0
东西,不错 我 就 会 给 好评 宝贝 产品质量 很-,好,1.0
商品,气味 淡淡的-,香,1.0
姐姐,们-,快,1.0
洗发水,的 一款+,好,2.0
洗完,的 头发 光泽度 非常 的-,好,1.0
洗完,头发 巨-,蓬松,1.0
发质,的+,毛躁,1.0
包装用,到-,新,1.0
商品,气味 气味 非常-,好,1.0
快递,包装 很-,好,1.0
头发,直接-,高,1.0
物流,也 很快 优惠 力度-,很大,1.0
追评,控油 效果-,一般,1.0
追评,我 正 因为-,好,1.0
推荐,我 洗发水-,确实,1.0
头皮,上 的 头皮屑 什么 的 清洗 的 也 很-,干净,1.0
喜欢,的 是 产品 我 很+,重要,1.0
推荐,给-,好,1.0
头发,轻盈-,不易,1.0
护发,效果-,很棒,2.0
收到,了用 了 一下-,不错,1.0
洗完,感觉 整个 头皮 都 清洗 的 很-,干净,1.0
打开,收到 一+,新,1.0
洗完,头发 感觉 也 很-,不错,1.0
感觉,头-,痒,1.0
发质,来说 效果 特别-,好,1.0
洗完,头发 后 真的 很-,蓬松,1.0
洗完,头发-,很软,1.0
洗完,头发-,柔顺,8.0
追评,只能 说 头发 多 的 姐妹 们 也 要-,慎重,1.0
味道,不会 很-,香,1.0
头发,而且 不 油腻 的+,亮丽,1.0
洗发水,比 平时 用 的+,确实,1.0
喜欢,控油 和-,蓬松,1.0
脱发,的 、-,长,1.0
产品,考虑+,仔细,1.0
控油,还-,不错,1.0
头发,也 很 非常 的-,柔顺,1.0
洗发水,能够-,彻底,1.0
顺滑,不-,干燥,1.0
泡泡,洗 的 很-,干净,1.0
洗发水,很-,温和,5.0
物流,挺-,好,1.0
用过,的 控油 产品 中 效果-,最好,3.0
包装,不错+,不错,1.0
洗发,清爽-,蓬松,1.0
头发,比 之前-,蓬松,1.0
洗完,吹干-,完全,1.0
线下,还-,便宜,1.0
收到,的 产品 今天 刚刚+,便宜,1.0
改善,头皮-,健康,1.0
控油,效果 还是 非常-,不错,1.0
好闻,气味+,不错,1.0
头发,也 很-,柔顺,8.0
没油,还 感觉 头发 很-,轻,1.0
泡沫,就 出+,容易,1.0
体验,非常-,不错,1.0
洗完,之后 感觉 是 比 其他 的 洗发水 要-,蓬松,2.0
追评,一下 这个-,丰盈,1.0
效果,真的 很-,好,10.0
头发,控油 效果 很-,好,1.0
试试,另外 一瓶 客服 也 挺-,好,1.0
控油,的 洗发水 对 大油头 很-,友好,1.0
洗完,后 头发 很-,蓬松,1.0
感觉,的+,轻松,1.0
控油,和 改善 头皮-,健康,1.0
头发,是 蓬松-,清爽,1.0
头发,真的 很-,柔顺,3.0
好用,很-,不错,2.0
香味,头发 后 留有+,好,1.0
头发,洗完+,好,1.0
好闻,用 着 很-,舒服,1.0
控油,款 洗完 头发 也 不会 特别-,涩,1.0
格局,能 把 产品 做 大 做-,强,1.0
头皮,被-,温和,1.0
洗发水,用 起来 很-,不错,1.0
洗发水,味道 很 好闻 很-,香,1.0
效果,的 感受 就是 控油+,最大,1.0
洗完,特别 舒服-,柔顺,1.0
追评,感觉 打开 闻 的 挺-,香,1.0
质地,很-,温和,1.0
包装,很-,严密,1.0
头皮,也 感觉-,清爽,1.0
香味,很 清新-,舒服,1.0
泡沫,巨-,丰富,1.0
头发,洗完-,蓬松,1.0
体验,也-,不错,1.0
配方,也 很-,温和,1.0
优惠,力度 也-,大,1.0
洗完,头发 不仅-,柔顺,1.0
感觉,的+,柔顺,1.0
追评,真心 不 建议 大家 买-,柔顺,1.0
发货,速度 非常-,快,2.0
泡沫,确实 挺-,细腻,1.0
追评,洗完 头 之后 出 油 真的 很-,慢,1.0
洗发水,的 容量-,很大,1.0
效果,真的 是 特别 的-,好,1.0
追评,一下 这个 丰盈-,蓬松,1.0
控油,的 感受 就是+,最大,1.0
留香,很-,久,1.0
好用,的+,意外,1.0
洗完,很-,柔顺,10.0
感觉,更加-,舒适,2.0
买来,用 了 一阵子 下来 效果-,确实,1.0
姐妹,塌+,细软,1.0
去屑,效果-,很好,1.0
发现,的+,意外,1.0
包装,用心-,完好,1.0
追评,我 的 头发 发质 是 那种-,细软,1.0
追评,产品 真的 非常-,好,1.0
头发,感觉 确实 会-,蓬松,1.0
变得,既-,干净,1.0
洗发水,的 一款+,不错,1.0
朋友,推荐 大家 一起 用 才 算-,好,1.0
感觉,比 之前 好像-,贵,1.0
广告,是+,全,1.0
感觉,清爽 的+,好,2.0
头发,又 黑 又 粗 很-,毛躁,1.0
推荐,都 很-,好,1.0
买家,发货 速度 也-,快,1.0
洗发水,用 起来 挺-,温和,1.0
打开,还是-,坏,1.0
老公,和 孩子 说 控油 效果-,好,1.0
头发,清爽-,蓬松,3.0
头发,也 油 的-,快,1.0
上头,控油 效果 也-,不错,1.0
头皮,就 会-,痒,1.0
头发,明显 不 像 以前 那么-,容易,1.0
控油,的 味道 有点-,浓,1.0
追评,之前 用 其他 的-,老,1.0
回购,用 以后 继续+,好,1.0
大瓶,用 起来 也 毫不-,心疼,1.0
感觉,头皮 被-,彻底,2.0
感觉,性价比 很-,高,1.0
头发丝,都-,干净,2.0
效果,使用 后+,好,1.0
追评,味道 没有 那么-,大,1.0
洗完,头发 感觉 很-,清爽,1.0
止痒,效果 很-,好,2.0
感觉,也 没+,蓬松,1.0
头发,干净-,清爽,2.0
实用,且-,精妙,1.0
泡泡,的+,细腻,1.0
泡沫,很-,丰富,8.0
洗完,之后 头顶 特别 的-,干净,1.0
润滑,度 都-,不错,1.0
洗完,头 你 也 太-,蓬松,1.0
油性,头发 得到 了-,很好,2.0
洗完,头 第三天 白天 就 开始 无敌-,痒,1.0
物流,有些-,慢,1.0
感觉,洗完 很-,清爽,1.0
推荐,红书 看到 一位 博主+,小,1.0
体验,愉悦 的 使用+,舒适,1.0
黄瓶,特别-,好,1.0
试用,过 洗发 非常-,清爽,1.0
商品,气味 很-,不错,1.0
洗完,也 很-,柔顺,2.0
洗完,后 头发 不-,容易,1.0
洗发水,很-,细腻,1.0
洗发水,回购-,好,1.0
包装,组 一点-,小,1.0
增资,和 淘气值 的+,积分,1.0
卖家,服务 也 很 好-,耐心,1.0
